,Trend (1d),Side,Key level,Reward vs. Risk
BATBTC,uptrend,LONG,8.49208e-05,0.61
BCHABCBTC,uptrend,LONG,0.0583617439,0.7
BCHABCUSDT,uptrend,LONG,307.1001149425,0.5
BNBBTC,uptrend,LONG,0.0045442328,0.4
BNBUSDT,uptrend,LONG,24.0623815789,0.43
EOSBTC,uptrend,LONG,0.0010297925,0.92
EOSUSDT,uptrend,LONG,5.4340427778,1.29
ETHUSDT,uptrend,LONG,173.5029569892,0.9
IOSTBTC,uptrend,LONG,2.6015e-06,1.29
IOTXBTC,uptrend,LONG,2.9399e-06,0.41
LTCUSDT,uptrend,LONG,80.9775595238,1.25
NASBTC,uptrend,LONG,0.0002481425,1.0
NULSBTC,uptrend,LONG,0.0001710044,4.09
RVNBTC,uptrend,LONG,1.26559e-05,1.97
WABIBTC,uptrend,LONG,7.55118e-05,0.97
WTCBTC,uptrend,LONG,0.0005020764,0.32
XRPUSDT,uptrend,LONG,0.3364156593,0.81
